"","animal_project_code","tag_id","station_name","receiver_id","deploy_latitude","deploy_longitude","arrival","departure","detections"
"162","Reelease","A69-9006-5438","Sound3","VR2W-133216","56.0515333","12.6251667",2019-11-26 21:29:59,2019-11-26 21:41:23,10
"163","Reelease","A69-9006-5439","Johnring","none","55.403733","12.29945",2019-11-20 15:45:00,2019-11-20 15:45:00,1
"164","Reelease","A69-9006-5439","Releasesite4","VR2W-135454","55.40425","12.304317",2019-11-20 17:08:53,2019-11-20 17:10:38,2
"165","Reelease","A69-9006-5439","Lilleb3","VR2W-131092","55.516467","9.709167",2019-12-20 14:04:37,2019-12-20 14:09:57,7
"166","Reelease","A69-9006-5440","Johnring","none","55.403733","12.29945",2019-11-20 15:45:00,2019-11-20 15:45:00,1
"167","Reelease","A69-9006-5440","Releasesite5","VR2W-135468","55.402133","12.3056",2019-11-20 17:14:34,2019-11-20 19:15:21,18
"168","Reelease","A69-9006-5440","Releasesite2","VR2W-135455","55.407583","12.295033",2019-11-20 19:15:25,2019-11-20 21:51:41,61
"169","Reelease","A69-9006-5440","Releasesite5","VR2W-135468","55.402133","12.3056",2019-11-20 21:53:12,2019-11-20 21:54:34,3
"170","Reelease","A69-9006-5440","Releasesite2","VR2W-135455","55.407583","12.295033",2019-11-20 21:54:36,2019-11-20 23:20:28,61
"171","Reelease","A69-9006-5440","Releasesite5","VR2W-135468","55.402133","12.3056",2019-11-20 23:20:29,2019-11-20 23:20:29,1
"172","Reelease","A69-9006-5440","Releasesite2","VR2W-135455","55.407583","12.295033",2019-11-20 23:20:30,2019-11-20 23:36:22,6
"173","Reelease","A69-9006-5440","Releasesite5","VR2W-135468","55.402133","12.3056",2019-11-20 23:37:39,2019-11-20 23:53:38,10
"174","Reelease","A69-9006-5440","Releasesite2","VR2W-135455","55.407583","12.295033",2019-11-20 23:53:39,2019-11-21 03:12:28,109
