"","animal_project_code","tag_id","station_name","receiver_id","deploy_latitude","deploy_longitude","arrival","departure","detections","swimtime_s","swimdistance_m","speed_m_s","totaldistance_m"
"130","Reelease","A69-9006-5428","Releasesite5","VR2W-135468",55.402133,12.3056,2019-11-20 17:33:53,2019-11-20 17:33:53,1,10133,541.506339,0.05344,541.506339
"131","Reelease","A69-9006-5428","VB2","VR2W-125456",55.301233,10.862217,2019-11-28 01:38:48,2019-11-28 01:43:25,3,633895,160657.732257,0.253445,161199.238596
"132","Reelease","A69-9006-5428","STSUB1","VR2W-135459",55.341383,11.030783,2019-12-12 23:36:52,2019-12-13 00:38:46,36,1288407,12562.396765,0.00975,173761.635361
"133","Reelease","A69-9006-5428","STSUB1","VR2W-135459",55.341383,11.030783,2019-12-13 20:30:51,2019-12-14 00:11:54,65,NA,NA,NA,173761.635361
"134","Reelease","A69-9006-5428","STSUB1","VR2W-135459",55.341383,11.030783,2019-12-14 04:37:10,2019-12-14 04:54:39,6,NA,NA,NA,173761.635361
"135","Reelease","A69-9006-5428","STSUB1","VR2W-135459",55.341383,11.030783,2019-12-14 06:09:36,2019-12-14 07:07:52,24,NA,NA,NA,173761.635361
"136","Reelease","A69-9006-5428","STSUB1","VR2W-135459",55.341383,11.030783,2019-12-14 16:12:34,2019-12-14 19:18:21,68,NA,NA,NA,173761.635361
"137","Reelease","A69-9006-5429","Johnring","none",55.403733,12.29945,2019-11-20 14:45:00,2019-11-20 14:45:00,1,NA,NA,NA,0
"138","Reelease","A69-9006-5429","Releasesite3","VR2W-135452",55.40695,12.3004,2019-11-20 18:39:18,2019-11-21 07:04:32,448,14058,441.413075,0.031399,441.413075
"139","Reelease","A69-9006-5429","S4","VR2W-135450",56.04414,12.65641,2020-10-21 20:58:17,2020-10-21 21:11:01,8,28994025,86150.944039,0.002971,86592.357114
"140","Reelease","A69-9006-5429","Sound6","VR2W-103417",56.05462,12.6503,2020-10-21 21:49:57,2020-10-21 21:58:18,5,2336,1348.554438,0.577292,87940.911552
"141","Reelease","A69-9006-5430","Johnring","none",55.403733,12.29945,2019-11-20 14:45:00,2019-11-20 14:45:00,1,NA,NA,NA,0
"142","Reelease","A69-9006-5430","Releasesite2","VR2W-135455",55.407583,12.295033,2019-11-20 17:52:45,2019-11-20 17:56:25,2,11265,524.285987,0.046541,524.285987
"143","Reelease","A69-9006-5430","Releasesite5","VR2W-135468",55.402133,12.3056,2019-11-20 18:05:12,2019-11-20 19:02:42,6,527,1007.209851,1.911214,1531.495838
"144","Reelease","A69-9006-5430","Releasesite2","VR2W-135455",55.407583,12.295033,2019-11-20 19:11:32,2019-11-20 21:20:48,58,530,1007.209851,1.900396,2538.705689
"145","Reelease","A69-9006-5430","Releasesite5","VR2W-135468",55.402133,12.3056,2019-11-20 21:23:03,2019-11-20 21:49:05,14,135,1007.209851,7.460814,3545.91554
"146","Reelease","A69-9006-5430","Releasesite2","VR2W-135455",55.407583,12.295033,2019-11-20 21:49:06,2019-11-20 21:49:06,1,1,1007.209851,1007.209851,4553.125391
"147","Reelease","A69-9006-5430","Releasesite5","VR2W-135468",55.402133,12.3056,2019-11-20 21:50:19,2019-11-20 21:51:56,3,73,1007.209851,13.797395,5560.335242
"148","Reelease","A69-9006-5430","Releasesite2","VR2W-135455",55.407583,12.295033,2019-11-20 21:51:57,2019-11-21 03:06:32,179,1,1007.209851,1007.209851,6567.545093
"149","Reelease","A69-9006-5430","Releasesite5","VR2W-135468",55.402133,12.3056,2019-11-21 03:06:34,2019-11-21 03:06:34,2,2,1007.209851,503.604925,7574.754944
"150","Reelease","A69-9006-5430","Releasesite2","VR2W-135455",55.407583,12.295033,2019-11-21 03:06:36,2019-11-21 03:07:53,2,2,1007.209851,503.604925,8581.964795
"151","Reelease","A69-9006-5430","Releasesite5","VR2W-135468",55.402133,12.3056,2019-11-21 03:07:54,2019-11-21 03:07:54,1,1,1007.209851,1007.209851,9589.174646
"152","Reelease","A69-9006-5430","Releasesite2","VR2W-135455",55.407583,12.295033,2019-11-21 03:07:55,2019-11-21 03:22:16,12,1,1007.209851,1007.209851,10596.384497
"153","Reelease","A69-9006-5430","Releasesite5","VR2W-135468",55.402133,12.3056,2019-11-21 03:22:17,2019-11-21 04:55:57,58,1,1007.209851,1007.209851,11603.594348
"154","Reelease","A69-9006-5430","Releasesite2","VR2W-135455",55.407583,12.295033,2019-11-21 04:55:59,2019-11-21 05:06:45,7,2,1007.209851,503.604925,12610.804199
"155","Reelease","A69-9006-5430","Releasesite5","VR2W-135468",55.402133,12.3056,2019-11-21 05:06:46,2019-11-21 05:06:46,1,1,1007.209851,1007.209851,13618.01405
"156","Reelease","A69-9006-5430","Releasesite2","VR2W-135455",55.407583,12.295033,2019-11-21 05:09:07,2019-11-21 05:12:11,4,141,1007.209851,7.143332,14625.223901
"157","Reelease","A69-9006-5430","Releasesite5","VR2W-135468",55.402133,12.3056,2019-11-21 05:12:12,2019-11-21 05:29:33,12,1,1007.209851,1007.209851,15632.433752
"158","Reelease","A69-9006-5430","Releasesite2","VR2W-135455",55.407583,12.295033,2019-11-21 05:32:44,2019-11-21 06:59:32,29,191,1007.209851,5.27335,16639.643603
"159","Reelease","A69-9006-5430","Releasesite5","VR2W-135468",55.402133,12.3056,2019-11-21 07:10:14,2019-11-21 07:47:50,5,642,1007.209851,1.568863,17646.853454
"160","Reelease","A69-9006-5431","Johnring","none",55.403733,12.29945,2019-11-20 14:45:00,2019-11-20 14:45:00,1,NA,NA,NA,0
"161","Reelease","A69-9006-5431","Johnring","VR2W-133213",55.403733,12.29945,2019-11-20 17:18:30,2019-11-20 19:14:39,72,NA,NA,NA,0
"162","Reelease","A69-9006-5432","Johnring","none",55.403733,12.29945,2019-11-20 14:45:00,2019-11-20 14:45:00,1,NA,NA,NA,0
"163","Reelease","A69-9006-5432","Releasesite3","VR2W-135452",55.40695,12.3004,2019-11-20 17:14:27,2019-11-20 17:46:56,5,8967,441.413075,0.049226,441.413075
"164","Reelease","A69-9006-5432","Sound7","VR2W-135450",56.0684833,12.6631833,2020-01-12 11:55:10,2020-01-12 12:04:18,5,4558094,88950.780367,0.019515,89392.193442
"165","Reelease","A69-9006-5433","Johnring","none",55.403733,12.29945,2019-11-20 14:45:00,2019-11-20 14:45:00,1,NA,NA,NA,0
"166","Reelease","A69-9006-5433","Releasesite3","VR2W-135452",55.40695,12.3004,2019-11-20 17:12:53,2019-11-21 06:51:07,241,8873,441.413075,0.049748,441.413075
